id,jenis_kelamin,senam_ritmik,renang,atletik,cluster,kategori_potensi,pca1,pca2
10627,P,90,89,92,0,Potensi Tinggi,2.4227476797482814,-0.35499525369506424
10662,P,90,90,84,0,Potensi Tinggi,1.9948904080255438,-0.10370141636434312
10628,P,90,86,90,0,Potensi Tinggi,2.011623706501448,-0.8951612857400989
10630,P,90,85,90,0,Potensi Tinggi,1.9180361202503255,-1.080696513856319
10875,L,90,97,90,0,Potensi Tinggi,3.041087155263799,1.1457262235383208
10735,P,90,85,92,0,Potensi Tinggi,2.0483973347437905,-1.0971361661599441
10878,P,90,84,84,0,Potensi Tinggi,1.4333648905188072,-1.216912785061663
10633,P,85,87,86,0,Potensi Tinggi,0.6690099306623464,0.33573307779796097
10741,L,85,88,76,1,Potensi Sedang,0.11079144444614336,0.6034665674323074
10707,P,86,75,84,2,Potensi Rendah,-0.3493065322239331,-2.0767459734559712
10812,P,87,86,84,0,Potensi Tinggi,0.9152527031590761,-0.23835443034046944
10813,P,89,75,52,2,Potensi Rendah,-1.7297986042573992,-2.42119943508672
10677,P,86,86,76,0,Potensi Tinggi,0.1587120585645567,0.029900145036949575
10635,P,85,85,94,0,Potensi Tinggi,1.0032796161339617,-0.10109598764898012
10744,P,85,84,78,0,Potensi Tinggi,-0.13319768606488253,-0.15511399733619785
10745,P,87,87,88,0,Potensi Tinggi,1.2695627183971294,-0.08569850683150004
10780,L,85,75,56,2,Potensi Rendah,-2.409459321753104,-1.6440948750422995
10638,L,87,88,86,0,Potensi Tinggi,1.2327890901547869,0.11627637358834524
10748,L,87,88,82,0,Potensi Tinggi,0.9720666611678564,0.1491556781955958
10639,L,85,86,70,1,Potensi Sedang,-0.4674673715364977,0.28171506811074326
10641,P,85,84,80,0,Potensi Tinggi,-0.0028364715714173754,-0.17155364963982314
10603,P,85,90,78,0,Potensi Tinggi,0.42832783144185405,0.9580973713611222
10750,P,85,86,82,0,Potensi Tinggi,0.3146999154242933,0.18307715428899157
10824,P,90,86,66,0,Potensi Tinggi,0.4472891325798662,-0.6978854580965955
10717,P,85,90,86,0,Potensi Tinggi,0.9497726894157147,0.892338762146621
10786,L,87,90,76,0,Potensi Tinggi,0.7681581901897065,0.5695450913389117
10755,L,85,75,62,2,Potensi Rendah,-2.018375678272709,-1.6934138319531753
10795,L,85,87,68,1,Potensi Sedang,-0.5042409997788401,0.48368994853058855
10831,L,85,89,68,1,Potensi Sedang,-0.31706582727659455,0.8547604047630286
10790,L,85,92,68,1,Potensi Sedang,-0.036303068523226255,1.4113660891116886
10760,L,80,95,74,1,Potensi Sedang,-0.5399355993927566,2.9311326473640618
10799,L,87,87,62,1,Potensi Sedang,-0.42513307001791784,0.12801697311562865
10617,P,85,88,86,0,Potensi Tinggi,0.7625975169134692,0.5212683059141809
10765,P,85,87,82,0,Potensi Tinggi,0.40828750167541605,0.36861238240521155
10768,P,85,84,60,1,Potensi Sedang,-1.306448616506069,-0.00715712660357026
10805,L,85,87,74,1,Potensi Sedang,-0.11315735629844456,0.4343709916197127
10807,P,85,87,86,0,Potensi Tinggi,0.6690099306623464,0.33573307779796097
10873,P,85,88,70,1,Potensi Sedang,-0.2802921990342522,0.6527855243431833
10879,P,85,86,88,0,Potensi Tinggi,0.7057835589046888,0.1337581973781157
10845,L,85,75,76,2,Potensi Rendah,-1.1058471768184526,-1.8084913980785524
10666,P,85,90,86,0,Potensi Tinggi,0.9497726894157147,0.892338762146621
10740,L,87,83,52,1,Potensi Sedang,-1.4512894874897349,-0.5319256778311248
10705,P,85,75,62,2,Potensi Rendah,-2.018375678272709,-1.6934138319531753
10672,P,85,84,84,0,Potensi Tinggi,0.25788595741551296,-0.2044329542470737
10708,P,85,85,76,0,Potensi Tinggi,-0.16997131430722492,0.04686088308364745
10778,P,87,87,78,0,Potensi Tinggi,0.6177566459298034,-0.003500245313373615
10779,P,87,84,80,0,Potensi Tinggi,0.4673551016699003,-0.5765455819656589
10814,P,87,83,68,1,Potensi Sedang,-0.40839977154201346,-0.663442896260127
10815,P,80,83,62,1,Potensi Sedang,-2.445153921367021,0.803347823791174
10679,P,87,83,68,1,Potensi Sedang,-0.40839977154201346,-0.663442896260127
10711,P,87,88,76,0,Potensi Tinggi,0.580983017687461,0.19847463510647165
10818,L,85,87,70,1,Potensi Sedang,-0.37387978528537497,0.4672502962269633
10749,L,80,89,64,1,Potensi Sedang,-1.753267189366819,1.9001195401848687
10720,P,85,87,82,0,Potensi Tinggi,0.40828750167541605,0.36861238240521155
10684,L,85,87,70,1,Potensi Sedang,-0.37387978528537497,0.4672502962269633
10610,P,85,83,86,0,Potensi Tinggi,0.2946595856578553,-0.406407834666919
10650,L,85,85,68,1,Potensi Sedang,-0.6914161722810857,0.11261949229814859
10757,P,85,83,80,0,Potensi Tinggi,-0.09642405782254014,-0.3570888777560431
10611,L,85,88,64,1,Potensi Sedang,-0.6713758425146477,0.7021044812540591
10724,L,80,88,68,1,Potensi Sedang,-1.5861323466310113,1.681705007461398
10652,L,80,89,64,1,Potensi Sedang,-1.753267189366819,1.9001195401848687
10687,L,80,85,76,1,Potensi Sedang,-1.345450247410519,1.0593407138982367
10616,L,80,95,68,1,Potensi Sedang,-0.9310192428731522,2.9804516042749376
10761,L,80,83,70,1,Potensi Sedang,-1.9237090633931602,0.7375892145766728
10866,P,87,83,50,1,Potensi Sedang,-1.5816507019831998,-0.5154860255274994
10800,P,87,86,62,1,Potensi Sedang,-0.5187206562690406,-0.057518255000591295
10618,L,87,88,90,0,Potensi Tinggi,1.4935115191417172,0.08339706898109467
10869,P,87,84,78,0,Potensi Tinggi,0.33699388717643514,-0.5601059296620335
10696,P,87,87,56,1,Potensi Sedang,-0.8162167134983134,0.17733593002650452
10619,P,87,84,78,0,Potensi Tinggi,0.33699388717643514,-0.5601059296620335
10731,L,87,87,76,0,Potensi Tinggi,0.4873954314363383,0.012939406990251671
10870,P,87,88,76,0,Potensi Tinggi,0.580983017687461,0.19847463510647165
10732,L,87,85,84,0,Potensi Tinggi,0.8216651169079534,-0.42388965845668947
10809,P,87,83,82,0,Potensi Tinggi,0.5041287299122427,-0.778520462385504
10737,P,87,90,82,0,Potensi Tinggi,1.1592418336701023,0.5202261344280359
10847,L,87,87,76,0,Potensi Tinggi,0.4873954314363383,0.012939406990251671
10704,L,85,75,62,2,Potensi Rendah,-2.018375678272709,-1.6934138319531753
10596,P,87,86,88,0,Potensi Tinggi,1.1759751321460066,-0.27123373494772
10674,L,87,75,82,2,Potensi Rendah,-0.24457196009673945,-2.262802287315264
10709,P,85,85,74,1,Potensi Sedang,-0.3003325288006901,0.06330053538727273
10816,L,85,85,64,1,Potensi Sedang,-0.952138601268016,0.14549879690539916
10637,P,87,86,72,0,Potensi Tinggi,0.13308541619828523,-0.13971651651871772
10820,P,85,83,86,0,Potensi Tinggi,0.2946595856578553,-0.406407834666919
10854,L,85,75,78,2,Potensi Rendah,-0.9754859623249875,-1.8249310503821776
10784,L,87,87,64,1,Potensi Sedang,-0.2947718555244528,0.1115773208120034
